DateKey,HourKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,PeopleCount,Weekday,Month,Holiday,ElectricityConsumption
20220812,6,8.55,10.25,9.9,97.5,5,5,8,0,44.75
20220812,7,9.45,10.5,9.9,96,2,5,8,0,49
20220812,8,9,10.149999999999999,10.05,99,7,5,8,0,47.5
20220812,9,9.75,10.8,10.4,97.5,3,5,8,0,41.25
20220812,10,11.25,12.649999999999999,10.2,85,2,5,8,0,41.25
20220812,11,11.6,13.65,8.45,71,1,5,8,0,42.75
20220812,12,12.2,13.75,8.45,70.5,0,5,8,0,45.25
20220812,13,12.850000000000001,14.55,9.149999999999999,70,5,5,8,0,48.25
20220812,14,13.3,14.05,9.75,76,0,5,8,0,45.5
20220812,15,13.25,14.6,9.399999999999999,71,1,5,8,0,44
20220812,16,14,14.15,9.95,76,0,5,8,0,44.5
20220812,17,12.8,13.35,10.05,80.5,1,5,8,0,48.75
20220812,18,11.45,12.6,9.95,84,3,5,8,0,52.25
20220812,19,10.05,12,8.2,77.5,1,5,8,0,52
20220812,20,9.1,11.5,7.800000000000001,78,0,5,8,0,49
20220812,21,7.8,11.600000000000001,6.7,72,0,5,8,0,46.5
20220812,22,8.7,11.649999999999999,6.15,69,0,5,8,0,35.75
20220812,23,8.15,10.45,6.699999999999999,77.5,0,5,8,0,32.75
20220813,0,8.15,9.649999999999999,7.55,87,2,6,8,0,33.5
20220813,1,7.45,8.7,8.65,99.5,0,6,8,0,32.5
20220813,2,7.2,8.350000000000001,8.350000000000001,100,0,6,8,0,32.5
20220813,3,6.95,7.800000000000001,7.800000000000001,100,1,6,8,0,35.5
20220813,4,6.1,7.15,7.15,100,1,6,8,0,41.5
20220813,5,5.05,7,7,100,0,6,8,0,42
20220813,6,5.8,6.9,6.9,100,0,6,8,0,36.5
20220813,7,5.9,6.65,6.65,100,2,6,8,0,31.25
20220813,8,6.9,7.5,7.5,100,2,6,8,0,44.75
20220813,9,7.9,9.65,8.9,95,1,6,8,0,49.25
20220813,10,11.45,11.8,9.100000000000001,83.5,2,6,8,0,50.75
20220813,11,13.5,14.9,7.3,60.5,1,6,8,0,49.5
20220813,12,16.2,17.549999999999997,8.149999999999999,54,3,6,8,0,49
20220813,13,15.100000000000001,16.9,8.2,57,1,6,8,0,49.25
20220813,14,12.25,14.7,8.5,66.5,0,6,8,0,49.5
20220813,15,8.266666666666667,12,9.433333333333332,86.33333333333333,2,6,8,0,49.25
20220813,16,9.05,10.05,10.05,100,1,6,8,0,50.75
20220813,17,8.85,9.5,9.5,100,0,6,8,0,50.5
20220813,18,8.350000000000001,9.25,9.25,100,0,6,8,0,38.5
20220813,19,8.8,9,9,100,0,6,8,0,32.75
20220813,20,6.95,8.600000000000001,8.600000000000001,100,0,6,8,0,33
20220813,21,8.100000000000001,8.45,8.45,100,0,6,8,0,32.5
20220813,22,6.85,7.45,7.45,100,0,6,8,0,32.5
20220813,23,5.25,6.7,6.7,100,0,6,8,0,34.75
20220814,0,5.199999999999999,6.25,6.25,100,3,7,8,0,41.5
20220814,1,5.300000000000001,6.5,6.5,100,0,7,8,0,41.5
20220814,2,5.4,6.6,6.6,100,0,7,8,0,42
20220814,6,5.75,7.95,7.95,100,0,7,8,0,36.5
20220814,7,5.949999999999999,8.1,8.1,100,2,7,8,0,33.75
20220814,8,6.9,8.85,8.85,100,6,7,8,0,40.5
20220814,9,7.1,9.8,9.7,99,1,7,8,0,42.25
20220814,10,7.6,10.8,10.600000000000001,99,4,7,8,0,44
20220814,11,8.85,11.95,10.95,93.5,5,7,8,0,46.5
20220814,12,8.95,12.25,10.25,87.5,0,7,8,0,43.5
20220814,13,9.149999999999999,13,9.3,78,3,7,8,0,45.25
20220814,14,9.7,13.6,9.75,77.5,1,7,8,0,46
20220814,15,8.533333333333333,14.066666666666668,8.6,69.66666666666667,1,7,8,0,46.25
20220814,16,8.6,14.133333333333333,8.4,68.33333333333333,1,7,8,0,45.75
20220814,17,7.65,13.5,9.4,76,1,7,8,0,46.5
